SymbolicName,NodeId,NodeClass
CDTSound_MIMEListAgencyId,4950,Variable
CDTSound_MIMEListVersionId,4951,Variable
CDTVideo_MimeContentType,4952,Variable
CDTVideo_MIMEListId,4953,Variable
CDTVideo_MIMEListAgencyId,4954,Variable
CDTVideo_MIMEListVersionId,4955,Variable
ISA95AssetAssignmentDataType,4956,DataType
ISA95ClassType,4957,ObjectType
ISA95ObjectType,4958,ObjectType
ISA95TestSpecificationType,4959,ObjectType
ISA95TestSpecificationType_Version,4960,Variable
QualificationTestResultType,4961,VariableType
ISA95AssetAssignmentDataType_Encoding_DefaultXml,4969,Object
Opc_ISA95_ISA95AssetAssignmentDataType,4970,Variable
ISA95AssetAssignmentDataType_Encoding_DefaultBinary,4973,Object
Opc_ISA95_ISA95AssetAssignmentDataType_4974,4974,Variable
QualificationTestSpecificationType,4977,ObjectType
PersonnelClassPropertyType_PropertyName_Placeholder,4979,Variable
PersonnelClassPropertyType_TestSpecification_Placeholder,4981,Object
PersonnelClassPropertyType_TestSpecification_Placeholder_Version,4982,Variable
PersonnelClassType,4996,ObjectType
PersonnelClassType_PropertyName_Placeholder,4997,Variable
PersonnelClassType_TestSpecification_Placeholder,4999,Object
PersonnelClassType_TestSpecification_Placeholder_Version,5000,Variable
EquipmentCapabilityTestResultType,5008,VariableType
EquipmentCapabilityTestSpecificationType,5015,ObjectType
EquipmentClassPropertyType,5017,VariableType
EquipmentClassPropertyType_PropertyName_Placeholder,5019,Variable
EquipmentClassPropertyType_TestSpecification_Placeholder,5021,Object
EquipmentClassPropertyType_TestSpecification_Placeholder_Version,5022,Variable
EquipmentPropertyType_PropertyName_Placeholder,5023,Variable
EquipmentPropertyType_TestSpecification_Placeholder,5025,Object
EquipmentPropertyType_TestSpecification_Placeholder_Version,5026,Variable
EquipmentPropertyType_TestResult_Placeholder,5027,Variable
EquipmentPropertyType_TestResult_Placeholder_Id,5028,Variable
EquipmentPropertyType_TestResult_Placeholder_ResultDescription,5029,Variable
EquipmentPropertyType_TestResult_Placeholder_TestDate,5030,Variable
EquipmentPropertyType_TestResult_Placeholder_Result,5031,Variable
EquipmentPropertyType_TestResult_Placeholder_ResultUnitOfMeasure,5032,Variable
EquipmentPropertyType_TestResult_Placeholder_Expiration,5033,Variable
EquipmentClassType,5034,ObjectType
EquipmentClassType_PropertyName_Placeholder,5035,Variable
EquipmentClassType_TestSpecification_Placeholder,5037,Object
EquipmentClassType_TestSpecification_Placeholder_Version,5038,Variable
EquipmentClassType_EquipmentLevel,5039,Variable
EquipmentType,5040,ObjectType
EquipmentType_PropertyName_Placeholder,5041,Variable
EquipmentType_EquipmentClass_Placeholder,5043,Object
EquipmentType_TestSpecification_Placeholder,5045,Object
EquipmentType_TestSpecification_Placeholder_Version,5046,Variable
EquipmentType_EquipmentLevel,5047,Variable
GeoSpatialLocationType,5048,VariableType
CompanyType,5049,VariableType
