Bad_OperationAbandoned,179
Bad_ExpectedStreamToBlock,180
Bad_WouldBlock,181
Bad_SyntaxError,182
Bad_MaxConnectionsReached,183
Bad_RequestTooLarge,184
Bad_ResponseTooLarge,185
Good_ResultsMayBeIncomplete,186
Bad_EventNotAcknowledgeable,187
Uncertain_ReferenceNotDeleted,188
Bad_InvalidTimestampArgument,189
Bad_ProtocolVersionUnsupported,190
Bad_StateNotActive,191
Uncertain_NotAllNodesAvailable,192
Bad_FilterOperatorInvalid,193
Bad_FilterOperatorUnsupported,194
Bad_FilterOperandCountMismatch,195
Bad_FilterElementInvalid,196
Bad_FilterLiteralInvalid,197
Bad_IdentityChangeNotSupported,198
Bad_NotTypeDefinition,200
Bad_ViewTimestampInvalid,201
Bad_ViewParameterMismatch,202
Bad_ViewVersionInvalid,203
Bad_ConditionAlreadyEnabled,204
Bad_DialogNotActive,205
Bad_DialogResponseInvalid,206
Bad_ConditionBranchAlreadyAcked,207
Bad_ConditionBranchAlreadyConfirmed,208
Bad_ConditionAlreadyShelved,209
Bad_ConditionNotShelved,210
Bad_ShelvingTimeOutOfRange,211
Bad_AggregateListMismatch,212
Bad_AggregateNotSupported,213
Bad_AggregateInvalidInputs,214
Bad_BoundNotFound,215
Bad_BoundNotSupported,216
Good_DataIgnored,217
Bad_AggregateConfigurationRejected,218
Bad_TooManyMonitoredItems,219
Good_Edited,220
Good_PostActionFailed,221
Uncertain_DominantValueChanged,222
Good_RetransmissionQueueNotSupported,223
Good_DependentValueChanged,224
Bad_DominantValueChanged,225
Uncertain_DependentValueChanged,226
Bad_DependentValueChanged,227
Bad_RequestNotAllowed,228
Bad_TooManyArguments,229
Bad_SecurityModeInsufficient,230
Bad_DataSetIdInvalid,231
Bad_TransactionPending,232
Bad_Locked,233
Bad_IndexRangeDataMismatch,234
Good_SubNormal,235
Bad_RequiresLock,236
Bad_LocaleNotSupported,237
Bad_ServerTooBusy,238
Good_PasswordChangeRequired,239
Bad_NoValue,240
Bad_TransactionFailed,241
Uncertain_OverRange,242
Uncertain_UnderRange,243
Bad_CertificateChainIncomplete,269
Bad_LicenseExpired,270
Bad_LicenseLimitsExceeded,271
Bad_LicenseNotAvailable,272
Bad_NotExecutable,273
Bad_NumericOverflow,274
Bad_RequestNotComplete,275
Bad_CertificatePolicyCheckFailed,276
Bad_AlreadyExists,277
Good_Edited_DependentValueChanged,278
Good_Edited_DominantValueChanged,279
Good_Edited_DominantValueChanged_DependentValueChanged,280
Bad_Edited_OutOfRange,281
Bad_InitialValue_OutOfRange,282
