"file","baseline_pct","new_pct","delta","new_uncovered","new_covered","new_valid","status"
"Stack/Opc.Ua.Bindings.Pcap/DependencyInjection/PcapServiceCollectionExtensions.cs","74.71","73.81","-0.9","22","62","84","<80"
"Stack/Opc.Ua.Bindings.Pcap/KeyLog/IKeyEscrowProvider.cs","N/A","N/A","N/A","N/A","0","0","N/A"
"Stack/Opc.Ua.Core/Security/Constants/SecurityConstants.cs","100","100","0","0","36","36",">=80"
"Stack/Opc.Ua.Core/Stack/Bindings/DefaultTransportBindingRegistry.cs","77.78","88.39","10.61","18","137","155",">=80"
"Stack/Opc.Ua.Core/Stack/Bindings/IFrameCaptureSink.cs","N/A","N/A","N/A","N/A","0","0","N/A"
"Stack/Opc.Ua.Core/Stack/Bindings/ITransportBindingConfigurator.cs","80","80","0","2","8","10",">=80"
"Stack/Opc.Ua.Core/Stack/Bindings/ITransportBindingRegistry.cs","N/A","N/A","N/A","N/A","0","0","N/A"
"Stack/Opc.Ua.Core/Stack/Bindings/ITransportBindings.cs","N/A","N/A","N/A","N/A","0","0","N/A"
"Stack/Opc.Ua.Core/Stack/Bindings/ITransportChannelBindings.cs","N/A","N/A","N/A","N/A","0","0","N/A"
"Stack/Opc.Ua.Core/Stack/Bindings/OpcUaTransportBuilderExtensions.cs","87.5","87.5","0","6","42","48",">=80"
"Stack/Opc.Ua.Core/Stack/Bindings/TransportBindings.cs","N/A","N/A","N/A","N/A","0","0","N/A"
"Stack/Opc.Ua.Core/Stack/Bindings/TransportBindingsBase.cs","N/A","N/A","N/A","N/A","0","0","N/A"
"Stack/Opc.Ua.Core/Stack/Client/Channels/ClientChannelManager.cs","87.43","86.18","-1.25","93","580","673",">=80"
"Stack/Opc.Ua.Core/Stack/Client/ReverseConnectHost.cs","75","94.44","19.44","4","68","72",">=80"
"Stack/Opc.Ua.Core/Stack/Configuration/ConfiguredEndpoints.cs","79.7","79.7","0","165","648","813","<80"
"Stack/Opc.Ua.Core/Stack/Https/HttpsTransportChannel.cs","73.98","77.81","3.83","87","305","392","<80"
"Stack/Opc.Ua.Core/Stack/Server/SecureChannelContext.cs","100","100","0","0","22","22",">=80"
"Stack/Opc.Ua.Core/Stack/Server/ServerBase.cs","73.16","70.9","-2.26","245","597","842","<80"
"Stack/Opc.Ua.Core/Stack/Tcp/InProcessTransport.cs","51.55","89.69","38.14","10","87","97",">=80"
"Stack/Opc.Ua.Core/Stack/Tcp/ITcpChannelListener.cs","N/A","N/A","N/A","N/A","0","0","N/A"
"Stack/Opc.Ua.Core/Stack/Tcp/IUaSCByteTransport.cs","N/A","N/A","N/A","N/A","0","0","N/A"
"Stack/Opc.Ua.Core/Stack/Tcp/TcpByteTransport.cs","85.21","85.6","0.39","35","208","243",">=80"
"Stack/Opc.Ua.Core/Stack/Tcp/TcpListenerChannel.cs","79.89","67.99","-11.9","113","240","353","<80"
"Stack/Opc.Ua.Core/Stack/Tcp/TcpMessageSocket.cs","N/A","N/A","N/A","N/A","0","0","N/A"
"Stack/Opc.Ua.Core/Stack/Tcp/TcpReverseConnectChannel.cs","65.31","59.18","-6.13","40","58","98","<80"
"Stack/Opc.Ua.Core/Stack/Tcp/TcpServerChannel.cs","58.95","57.95","-1","378","521","899","<80"
"Stack/Opc.Ua.Core/Stack/Tcp/TcpTransportChannel.cs","100","100","0","0","7","7",">=80"
"Stack/Opc.Ua.Core/Stack/Tcp/TcpTransportListener.cs","71.62","61.56","-10.06","311","498","809","<80"
"Stack/Opc.Ua.Core/Stack/Tcp/UaSCBinaryChannel.cs","72.35","66.56","-5.79","203","404","607","<80"
"Stack/Opc.Ua.Core/Stack/Tcp/UaSCBinaryClientChannel.cs","55.77","53.3","-2.47","510","582","1092","<80"
"Stack/Opc.Ua.Core/Stack/Tcp/UaSCBinaryTransportChannel.cs","90.09","85.77","-4.32","38","229","267",">=80"
"Stack/Opc.Ua.Core/Stack/Transport/IMessageSocket.cs","N/A","N/A","N/A","N/A","0","0","N/A"
"Stack/Opc.Ua.Core/Stack/WebApi/WebApiBodyCodec.cs","66.06","83.03","16.97","28","137","165",">=80"
"Stack/Opc.Ua.Core/Stack/WebApi/WebApiMediaType.cs","94.44","94.44","0","4","68","72",">=80"
"Stack/Opc.Ua.Core/Stack/WebApi/WebApiServiceRoutes.cs","100","100","0","0","100","100",">=80"
"Stack/Opc.Ua.Core/Types/Utils/Utils.cs","77.51","71.47","-6.04","291","729","1020","<80"
"Stack/Opc.Ua.Types/Encoders/JsonDecoder.cs","85.48","85.3","-0.18","402","2332","2734",">=80"
